focal_method,test_prefix,docstring
"@SuppressWarnings(""SimplifiableIfStatement"")
    public static boolean nullSafeEquals(Object o1, Object o2) {
        if (o1 == o2) {
            return true;
        }
        if (o1 == null || o2 == null) {
            return false;
        }
        return o1.equals(o2);
    }","@Test(timeout = 4000)
  public void test1()  throws Throwable  {
      ObjectUtils objectUtils0 = new ObjectUtils();
      // Undeclared exception!
      try { 
        ObjectUtils.nullSafeEquals((Object) null, objectUtils0);
        fail(""Expecting exception: NullPointerException"");
      
      } catch(NullPointerException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""com.contrastsecurity.cassandra.migration.utils.ObjectUtils"", e);
      }
  }","Determine if the given objects are equal, returning {@code true} if both are {@code null} or {@code false} if only one is {@code null}.@param o1 first Object to compare @param o2 second Object to compare @return whether the given objects are equal"
"public void execute() throws BadgerException {
		if (inputFiles != null && inputFiles.length > 0) {
			checkOutputDir();
			for (File inputXml : inputFiles) {
				if (inputXml != null && inputXml.canRead() && inputXml.isFile()) {
					File output = getOutputFile(inputXml);
					transform(inputXml, output);
				} else {
					LOGGER.log(Level.WARNING, ""Badger cannot read input XML file {0}"", inputXml);
				}
			}
		} else {
			LOGGER.log(Level.INFO, ""No reports found, not building badges"");
		}
	}","@Test(timeout = 4000)
  public void test3()  throws Throwable  {
      Badger badger0 = new Badger();
      File[] fileArray0 = new File[3];
      MockFile mockFile0 = new MockFile(""n)(~O"", ""X@9w"");
      fileArray0[0] = (File) mockFile0;
      badger0.setOutputDir(fileArray0[0]);
      badger0.setInputXml(fileArray0);
      // Undeclared exception!
      try { 
        badger0.execute();
        fail(""Expecting exception: NullPointerException"");
      
      } catch(NullPointerException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""com.github.bordertech.buildtools.Badger"", e);
      }
  }",Generate badges configured in the current state of this instance. Assumes the inputs and outputs have been set. @throws BadgerException if something goes wrong to report to the invoker.
"public static String popStartsWith( Collection<String> collection, String prefix )
    {
        Iterator<String> iterator = collection.iterator();
        
        while ( iterator.hasNext() )
        {
            String element = iterator.next();
            
            if ( element != null && element.startsWith( prefix ) )
            {
                iterator.remove();
                return element;
            }
        }
        
        return null;
    }","@Test(timeout = 4000)
  public void test00()  throws Throwable  {
      LinkedList<String> linkedList0 = new LinkedList<String>();
      linkedList0.offer((String) null);
      // Undeclared exception!
      try { 
        CollectionUtils.popStartsWith(linkedList0, (String) null);
        fail(""Expecting exception: NullPointerException"");
      
      } catch(NullPointerException e) {
      }
  }","Searches for and returns the first string which starts with the given prefix. Removes the match from the collection. @param collection the collection. @param prefix the string prefix. @return a string, or null if no matches."
,"@Test(timeout = 4000)
  public void test05()  throws Throwable  {
      HashMap<String, List<String>> hashMap0 = new HashMap<String, List<String>>();
      hashMap0.put(""X-Contentful-RateLimit-Hour-Limit"", (List<String>) null);
      RateLimits.DefaultParser rateLimits_DefaultParser0 = new RateLimits.DefaultParser();
      // Undeclared exception!
      try { 
        rateLimits_DefaultParser0.parse(hashMap0);
        fail(""Expecting exception: NullPointerException"");
      
      } catch(NullPointerException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""com.contentful.java.cma.model.RateLimits$DefaultParser"", e);
      }
  }",
"public CMAPersonalAccessToken addScope(Scope scope) {
    if (scopes == null) {
      scopes = new ArrayList<Scope>();
    }

    scopes.add(scope);
    return this;
  }","@Test(timeout = 4000)
  public void test3()  throws Throwable  {
      CMAPersonalAccessToken cMAPersonalAccessToken0 = new CMAPersonalAccessToken();
      CMAPersonalAccessToken.Scope cMAPersonalAccessToken_Scope0 = CMAPersonalAccessToken.Scope.Manage;
      // Undeclared exception!
      try { 
        cMAPersonalAccessToken0.addScope(cMAPersonalAccessToken_Scope0);
        fail(""Expecting exception: NullPointerException"");
      
      } catch(NullPointerException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""com.contentful.java.cma.model.CMAPersonalAccessToken"", e);
      }
  }",Add a new scope to the list of scopes. Creates a new list of scopes if no scopes found.@param scope the new scope to be added. @return this instance for chaining.
"protected void printHorizontalSeparator(final StringBuilder stringBuilder, final char leftConnector,
            final char middleConnector,
            final char rightConnector) {
        if (isPrintLeftBorder()) {
            stringBuilder.append(leftConnector);
            append(stringBuilder, borderConfiguration.getHorizontalLine(), getColumnSpacing());
        }
        append(stringBuilder, borderConfiguration.getHorizontalLine(), columnWidths[0]);
        for (int i = 1; i < columnCount; i++) {
            if (isPrintColumnSeparators()) {
                append(stringBuilder, borderConfiguration.getHorizontalLine(), getColumnSpacing());
                stringBuilder.append(middleConnector);
                append(stringBuilder, borderConfiguration.getHorizontalLine(), getColumnSpacing());
            }
            append(stringBuilder, borderConfiguration.getHorizontalLine(), columnWidths[i]);
        }
        if (isPrintRightBorder()) {
            append(stringBuilder, borderConfiguration.getHorizontalLine(), getColumnSpacing());
            stringBuilder.append(rightConnector);
        }
        stringBuilder.append('\n');
    }","@Test(timeout = 4000)
  public void test19()  throws Throwable  {
      ConsoleTable consoleTable0 = new ConsoleTable(38);
      consoleTable0.setPrintTopBorder(false);
      StringBuilder stringBuilder0 = new StringBuilder();
      // Undeclared exception!
      try { 
        consoleTable0.appendTo(stringBuilder0);
        fail(""Expecting exception: ArrayIndexOutOfBoundsException"");
      
      } catch(ArrayIndexOutOfBoundsException e) {
         //
         // 38
         //
         verifyException(""de.chrlembeck.util.console.ConsoleTable"", e);
      }
  }","Fügt einen horizontalen Trennstrich inclusive Zeilenumbruch ein. @param stringBuilder StringBuilder, an den der Trennstrich angehängt werden soll. @param leftConnector Symbol für den Anschluss des linken Tabellenrands. @param middleConnector Symbol für den Anschluss von Rahmen in der Mitte. @param rightConnector Symbol für den Anschluss des rechten Tabellenrands."
"public WebSocketHandlerBuilder withWebSocketFactory(MuWebSocketFactory factory) {
        Mutils.notNull(""factory"", factory);
        this.factory = factory;
        return this;
    }","@Test(timeout = 4000)
  public void test1()  throws Throwable  {
      MuWebSocketFactory muWebSocketFactory0 = mock(MuWebSocketFactory.class, new ViolatedAssumptionAnswer());
      WebSocketHandlerBuilder webSocketHandlerBuilder0 = WebSocketHandlerBuilder.webSocketHandler(muWebSocketFactory0);
      // Undeclared exception!
      try { 
        webSocketHandlerBuilder0.build();
        fail(""Expecting exception: NoClassDefFoundError"");
      
      } catch(NoClassDefFoundError e) {
         //
         // io/netty/handler/codec/http/HttpHeaders
         //
         verifyException(""io.muserver.WebSocketHandlerBuilder"", e);
      }
  }","<p>Sets the factory that decides whether to create a websocket connection for a request.<p> <p>Note that the factory will only be called if the request is a websocket upgrade request.<p> @param factory A factory that creates websockets, or returns null if the websocket connection shouldn't be created. @return This builder"
"public boolean checkEndsWith(String str, String end) {
		int endLen = end.length();
		return str.regionMatches(!sensitive, str.length() - endLen, end, 0, endLen);
	}","@Test(timeout = 4000)
  public void test04()  throws Throwable  {
      Case case0 = Case.SENSITIVE;
      // Undeclared exception!
      try { 
        case0.checkEndsWith("""", """");
        fail(""Expecting exception: ArithmeticException"");
      
      } catch(ArithmeticException e) {
         //
         // / by zero
         //
         verifyException(""org.xenei.classpathutils.Case"", e);
      }
  }","Checks if one string ends with another using the case-sensitivity rule. <p> This method mimics {@link String#endsWith} but takes case-sensitivity into account. @param str the string to check, not null @param end the end to compare against, not null @return true if equal using the case rules @throws NullPointerException if either string is null"
"public static <T> void removeAll( List<T> list, List<Integer> indexes )
    {
        if ( list == null || indexes == null )
        {
            return;
        }
        
        Collections.sort( indexes, Collections.reverseOrder() );
        
        final int size = list.size();
        
        for ( Integer index : indexes )
        {
            if ( index >= 0 && index < size )
            {
                list.remove( (int) index );
            }
        }
    }","@Test(timeout = 4000)
  public void test16()  throws Throwable  {
      List<Integer> list0 = ListUtils.getClosedOpenList(0, 18);
      LinkedList<Object> linkedList0 = new LinkedList<Object>();
      // Undeclared exception!
      try { 
        ListUtils.removeAll((List<Object>) linkedList0, list0);
        fail(""Expecting exception: IndexOutOfBoundsException"");
      
      } catch(IndexOutOfBoundsException e) {
         //
         // Index: 0, Size: 0
         //
         verifyException(""java.util.LinkedList"", e);
      }
  }",Removes from the given list the elements at the given indexes. Ignores indexes which are out of bounds of list. @param <T> type. @param list the list to remove elements from. @param indexes the indexes for the elements to remove.
"public Extension getExtension() {
    if (extension == null) {
      extension = new Extension();
    }

    return extension;
  }","@Test(timeout = 4000)
  public void test5()  throws Throwable  {
      CMAUiExtension cMAUiExtension0 = new CMAUiExtension();
      String string0 = cMAUiExtension0.toString();
      assertEquals(""CMAUiExtension { CMAResource { system = CMASystem { type = UiExtension } } extension = null }"", string0);
  }",@return the extension description part of the UI extension.
,"@Test(timeout = 4000)
  public void test1()  throws Throwable  {
      ResourceUsage resourceUsage0 = new ResourceUsage(1240L, (-3011));
      int int0 = resourceUsage0.getNumResources();
      assertEquals(1240L, resourceUsage0.getTime());
  }",
"private static List<Triangle2D> internalTriangulate(
            final List<Point2D> verticesCopy, final List<int[]> indices,
            final List<Point2D> originalVertices) throws TriangulatorException {
        if (verticesCopy.size() < MIN_VERTICES) {
            throw new TriangulatorException();
        }

        final List<Triangle2D> result = new LinkedList<>();

        boolean madeCut;

        Triangle2D triangle = null;

        // Second, apply algorithm
        while (verticesCopy.size() > MIN_VERTICES) {
            madeCut = false;
            final int lastElement = verticesCopy.size() - 1;
            for (int i = 0; i <= lastElement; i++) {

                if (i == 0) {
                    if (triangle == null) {
                        // instantiate triangle if not already instantiated
                        triangle = new Triangle2D(verticesCopy.get(lastElement),
                                verticesCopy.get(0), verticesCopy.get(1));
                    } else {
                        triangle.setVertices(verticesCopy.get(lastElement),
                                verticesCopy.get(0), verticesCopy.get(1));
                    }
                } else if (i == lastElement) {
                    triangle.setVertices(verticesCopy.get(lastElement - 1),
                            verticesCopy.get(lastElement),
                            verticesCopy.get(0));
                } else {
                    triangle.setVertices(verticesCopy.get(i - 1),
                            verticesCopy.get(i), verticesCopy.get(i + 1));
                }

                if (isEar(triangle, verticesCopy)) {
                    // If it is an ear, we build a face out of the triangle being
                    // cut and remove it from polygon by cutting it
                    result.add(triangle);
                    // so that it cannot be reused after being added
                    triangle = null;

                    // cut ear
                    verticesCopy.remove(i);
                    madeCut = true;

                    // Leave from FOR loop to loop again to new reduced vertices set
                    break;
                }
            }

            // if arrived here but no cut was made and polygon size contains
            // more than 3 vertices, then the algorithm failed for some reason
            if (!madeCut) {
                throw new TriangulatorException();
            }
        }

        // instantiate final triangle
        triangle = new Triangle2D(verticesCopy.get(0),
                verticesCopy.get(1), verticesCopy.get(2));


        final boolean arePointsColinear = triangle.areVerticesColinear();

        // only add final triangle if not co-linear (area greater than small
        // threshold)
        if (!arePointsColinear)
            result.add(triangle);

        // add indices of triangles verticesCopy
        computeIndices(originalVertices, result, indices);

        return result;
    }","@Test(timeout = 4000)
  public void test1()  throws Throwable  {
      VanGoghTriangulator2D vanGoghTriangulator2D0 = new VanGoghTriangulator2D();
      HomogeneousPoint2D homogeneousPoint2D0 = new HomogeneousPoint2D(3, 3, 3);
      Triangle2D triangle2D0 = new Triangle2D(homogeneousPoint2D0, homogeneousPoint2D0, homogeneousPoint2D0);
      List<Point2D> list0 = triangle2D0.getVertices();
      LinkedList<Point2D> linkedList0 = new LinkedList<Point2D>(list0);
      linkedList0.add((Point2D) homogeneousPoint2D0);
      // Undeclared exception!
      try { 
        vanGoghTriangulator2D0.triangulate((List<Point2D>) linkedList0);
        fail(""Expecting exception: NullPointerException"");
      
      } catch(NullPointerException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""com.irurueta.geometry.VanGoghTriangulator2D"", e);
      }
  }","Internal method that computes the actual triangulation.@param verticesCopy List of points considered as verticesCopy of a polygon. This list will be modified after execution of this method. @param indices List where indices of original verticesCopy will be stored. This list can be used to refer to the original order of verticesCopy. Notice that verticesCopy indices might be repeated because verticesCopy might appear in more than one triangle after triangulation. If this parameter is null, indices won't be stored in this list. @param originalVertices Reference to original list of vertices that won't be modified. @return List of triangles forming the polygon that has been triangulated. @throws TriangulatorException Raised if triangulation cannot be done. Usually this indicates numerical instability or polygon degeneracy.Second, apply algorithm
instantiate final triangle
only add final triangle if not co-linear (area greater than small
threshold)
add indices of triangles verticesCopy"
"private static String split(String s) {
        int i = s.lastIndexOf('.');
        if (i < 0)
            return s;
        else
            return s.substring(i + 1);
    }","@Test(timeout = 4000)
  public void test3()  throws Throwable  {
      RtfParserException rtfParserException0 = new RtfParserException();
      RtfParserException rtfParserException1 = new RtfParserException(rtfParserException0);
      String string0 = rtfParserException1.toString();
      assertEquals("".RtfParserException: org.evosuite.runtime.mock.java.lang.MockThrowable"", string0);
  }",Removes everything in a String that comes before a '.' @param s the original string @return the part that comes after the dot
,"@Test(timeout = 4000)
  public void test1()  throws Throwable  {
      // Undeclared exception!
      try { 
        StripedLock.create();
        fail(""Expecting exception: IllegalArgumentException"");
      
      } catch(IllegalArgumentException e) {
         //
         // storage power must be in [1..6]
         //
         verifyException(""com.github.edgar615.util.concurrent.StripedLock"", e);
      }
  }",
"public boolean transition(int oldSnapshot, int newState) {
        int oldState = oldSnapshot & STATE_MASK;
        // Validate legal transition.
        if (shouldValidate) {
            if (!isValidTransition(oldState, newState)) {
                throw new IllegalArgumentException(String.format(""Can't transition from state %d to %d."", oldState, newState));
            }
        }
        int newSnapshot = ((oldSnapshot & INDEX_MASK) + INDEX_INCREMENTER) | newState;

        // The common case: we were asked to update something valid, and nothing invalidated our starting assumptions,
        // so we succeeded.
        if (stateSnapshot.compareAndSet(oldSnapshot, newSnapshot)) {
            if (listener != null) {
                // Don't report (non-)events where state wasn't updated.
                if (oldState != newState) {
                    listener.onCircuitTransition(this, oldState, newState);
                }
            }
            return true;

        // The second most common case: the atomic couldn't be updated, but it doesn't matter, because the
        // request was redundant (state was already correct). This happens when multiple threads ask for
        // the same transition.
        } else if ((stateSnapshot.get() & STATE_MASK) == newState) {
            return true;
        }

        // Otherwise our caller asked for something we can't honor. Typically this is because concurrency
        // invalidated the caller's view of what our current state was.
        return false;
    }","@Test(timeout = 4000)
  public void test28()  throws Throwable  {
      Circuit circuit0 = new Circuit((Circuit.Listener) null);
      
      boolean boolean0 = circuit0.transition(0, 1);
      assertTrue(boolean0);
  }","<p>Attempt to move our state machine to a new state. This method should be called by {@link TransitionPolicy} objects, not the general public. (For direct manipulation of a circuit breaker, see {@link CircuitBreaker#directTransition(int, boolean)} instead.)<p><p>The request to transition will succeed if:<p> <ul> <li>The state machine is already in the requested state, making the transition redundant<li> <li><strong>OR<strong> the state has not changed since we last fetched it with {@link #getStateSnapshot()}<li> <ul><p>If {@link #shouldValidate} is true, then the correctness of old and new state are checked with each call, and an {@link IllegalArgumentException} is thrown if anomalies are detected. (This correctness is not evaluated against the actual state of the circuit, but rather against the asserted oldSnapshot. In other words, it can only generate an exception if the caller is coded wrong, not if the caller is unaware of the current state of the circuit.) This may be helpful while developing a new {@link CircuitBreaker}.<p>@param oldSnapshot Asserts that the circuit is currently in the state described by oldSnapshot. This value is returned by {@link #getStateSnapshot()}; it is more than one of the state constants ({@link #OPEN}, {@link #CLOSED}, etc). @param newState The new state that's desired. See {@link #OPEN}, {@link #CLOSED}, etc. @return true if the circuit is in the desired state when the function completes, false if not.Validate legal transition.
The common case: we were asked to update something valid, and nothing invalidated our starting assumptions,
so we succeeded.
Otherwise our caller asked for something we can't honor. Typically this is because concurrency
invalidated the caller's view of what our current state was."
"private static List<Triangle3D> internalTriangulate(
            final List<Point3D> verticesCopy, final List<int[]> indices,
            final List<Point3D> originalVertices) throws TriangulatorException {
        if (verticesCopy.size() < MIN_VERTICES) {
            throw new TriangulatorException();
        }

        final List<Triangle3D> result = new LinkedList<>();

        boolean isEar;
        boolean madeCut;

        Triangle3D triangle = null;

        // Second, apply algorithm
        while (verticesCopy.size() > MIN_VERTICES) {
            madeCut = false;
            final int lastElement = verticesCopy.size() - 1;
            for (int i = 0; i <= lastElement; i++) {


                if (i == 0) {
                    if (triangle == null) {
                        // instantiate triangle if not already instantiated
                        triangle = new Triangle3D(verticesCopy.get(lastElement),
                                verticesCopy.get(0), verticesCopy.get(1));
                    } else {
                        triangle.setVertices(verticesCopy.get(lastElement),
                                verticesCopy.get(0), verticesCopy.get(1));
                    }
                } else if (i == lastElement) {
                    triangle.setVertices(verticesCopy.get(lastElement - 1),
                            verticesCopy.get(lastElement),
                            verticesCopy.get(0));
                } else {
                    triangle.setVertices(verticesCopy.get(i - 1),
                            verticesCopy.get(i), verticesCopy.get(i + 1));
                }

                try {
                    isEar = isEar(triangle, verticesCopy);
                } catch (CoincidentPointsException e) {
                    isEar = false;
                }

                if (isEar) {
                    // If it is an ear, we build a face out of the triangle being
                    // cut and remove it from polygon by cutting it
                    result.add(triangle);
                    // so that it cannot be reused after being added
                    triangle = null;

                    // cut ear
                    verticesCopy.remove(i);
                    madeCut = true;

                    // Leave from FOR loop to loop again to new reduced verticesCopy set
                    break;
                }
            }

            // if arrived here but no cut was made and polygon size contains
            // more than 3 verticesCopy, then the algorithm failed for some reason
            if (!madeCut) {
                throw new TriangulatorException();
            }
        }

        // instantiate final triangle
        triangle = new Triangle3D(verticesCopy.get(0),
                verticesCopy.get(1), verticesCopy.get(2));


        final boolean arePointsColinear = triangle.areVerticesColinear();

        // only add final triangle if not co-linear (area greater than small
        // threshold)
        if (!arePointsColinear) {
            result.add(triangle);
        }

        // add indices of triangles verticesCopy
        computeIndices(originalVertices, result, indices);

        return result;
    }","@Test(timeout = 4000)
  public void test4()  throws Throwable  {
      VanGoghTriangulator3D vanGoghTriangulator3D0 = new VanGoghTriangulator3D();
      Point3D point3D0 = Point3D.create();
      Triangle3D triangle3D0 = new Triangle3D(point3D0, point3D0, point3D0);
      List<Point3D> list0 = triangle3D0.getVertices();
      // Undeclared exception!
      try { 
        vanGoghTriangulator3D0.triangulate(list0);
        fail(""Expecting exception: IndexOutOfBoundsException"");
      
      } catch(IndexOutOfBoundsException e) {
         //
         // Index: 2, Size: 2
         //
         verifyException(""java.util.ArrayList"", e);
      }
  }","Internal method that computes the actual triangulation.@param verticesCopy List of points considered as verticesCopy of a polygon. This list will be modified after execution of this method @param indices List where indices of original verticesCopy will be stored. This list can be used to refer to the original order of verticesCopy. Notice that verticesCopy indices might be repeated because verticesCopy might appear in more than one triangle after triangulation. If this parameter is null, indices won't be stored in this list. @param originalVertices Reference to original list of vertices that won't be modified. @return List of triangles forming the polygon that has been triangulated. @throws TriangulatorException Raised if triangulation cannot be done. Usually this indicates numerical instability or polygon degeneracy.Second, apply algorithm
instantiate final triangle
only add final triangle if not co-linear (area greater than small
threshold)
add indices of triangles verticesCopy"
"public static String getImageUrl(String pid, ImageSize imageSize, boolean https) {
        pid = pid.trim();
        String size = imageSize.name();
        // 传递 pid
        Pattern p = Pattern.compile(""^[a-zA-Z0-9]{32}$"");
        Matcher m = p.matcher(pid);

        if (m.matches()) {
            CRC32 crc32 = new CRC32();
            crc32.update(pid.getBytes());
            return (https ? ""https"" : ""http"") + ""://"" + (https ? ""ws"" : ""ww"")
                    + ((crc32.getValue() & 3) + 1) + "".sinaimg.cn/"" + size
                    + ""/"" + pid + ""."" + (pid.charAt(21) == 'g' ? ""gif"" : ""jpg"");
        }
        // 传递 url
        String url = pid;
        Pattern p1 = Pattern.compile(""^(https?://[a-z]{2}d.sinaimg.cn/)(large|bmiddle|mw1024|mw690|small|square|thumb180|thumbnail)(/[a-z0-9]{32}.(jpg|gif))$"");
        Matcher m1 = p1.matcher(url);
        if (m1.find()) {
            return m.group(1) + size + m.group(3);
        }
        return null;
    }","@Test(timeout = 4000)
  public void test3()  throws Throwable  {
      ImageSize imageSize0 = ImageSize.square;
      String string0 = WbpUtils.getImageUrl(""00000000000000000000000000000000"", imageSize0, true);
      assertEquals(""https://ws0.sinaimg.cn/square/00000000000000000000000000000000.jpg"", string0);
  }","本方法来自 @dong4j：https:github.comdong4j <p> Gets image url.@param pid the pid @param imageSize the imageSize @param https the https @return the image url传递 pid
传递 url"
"public CMAEnvironmentStatus getStatus() {
    final CMALink link = system.getEnvironmentalStatus();
    if (link == null) {
      return null;
    }

    final String id = link.getId().toLowerCase();

    for (final CMAEnvironmentStatus status : CMAEnvironmentStatus.values()) {
      final String statusName = status.name().toLowerCase();
      if (statusName.equals(id)) {
        return status;
      }
    }

    return null;
  }","@Test(timeout = 4000)
  public void test2()  throws Throwable  {
      CMAEnvironment cMAEnvironment0 = new CMAEnvironment();
      // Undeclared exception!
      try { 
        cMAEnvironment0.getStatus();
        fail(""Expecting exception: NullPointerException"");
      
      } catch(NullPointerException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""com.contentful.java.cma.model.CMAEnvironment"", e);
      }
  }",Return the state of this environment@return one of {@link CMAEnvironmentStatus} to indicate the status of the environment.
"@Override
	public int hashCode() {
		final int prime = 31;
		int result = 1;
		result = prime * result + ((res == null) ? 0 : res.hashCode());
		result = prime * result + (hasError() ? 1 : 0);
		return result;
	}","@Test(timeout = 4000)
  public void test09()  throws Throwable  {
      MockThrowable mockThrowable0 = new MockThrowable(""null"");
      Result<Result<Integer>> result0 = new Result<Result<Integer>>((Throwable) mockThrowable0);
      // Undeclared exception!
      try { 
        result0.hashCode();
        fail(""Expecting exception: ArithmeticException"");
      
      } catch(ArithmeticException e) {
         //
         // / by zero
         //
         verifyException(""com.aegisql.util.function.Result"", e);
      }
  }",(non-Javadoc) @see java.lang.Object#hashCode()
"private int privateCompare (TreeNode o1, TreeNode o2)
	{
		// same object?
		if (o1 == o2)
			return 0;
		
		int t = o2.getType ();
		if (t != o1.getType ())
			// text nodes always smaller than document nodes
			return t == TreeNode.TEXT_NODE ? 1 : -1;
		
		if (t == TreeNode.DOC_NODE)
		{
			// get the subtree sizes
			int sub1 = ((DocumentNode) o1).getSizeSubtree ();
			int sub2 = ((DocumentNode) o2).getSizeSubtree ();
			
			// first based on subtree
			if (sub1 < sub2)
				return -1;
			if (sub1 > sub2)
				return 1;
			
			// in case of equality compare weights
			double w1 = o1.getWeight (), w2 = o2.getWeight ();
			if (w1 < w2)
				return -1;
			if (w1 > w2)
				return 1;
		
			int a1 = ((DocumentNode) o1).getAttributes ().size (), a2 = ((DocumentNode) o2)
				.getAttributes ().size ();
			
			// if that also equals, compare number of arguments
			if (a1 < a2)
				return -1;
			if (a1 > a2)
			return 1;
		}
		else
		{
			// in text nodes we can only compare the weights
			double w1 = o1.getWeight (), w2 = o2.getWeight ();
			if (w1 < w2)
				return -1;
			if (w1 > w2)
				return 1;
			
		}
		
		// last but not least: compare xpaths
		return o1.getXPath ().compareTo (o2.getXPath ());
	}","@Test(timeout = 4000)
  public void test2()  throws Throwable  {
      TreeNodeComparatorBySubtreeSize treeNodeComparatorBySubtreeSize0 = new TreeNodeComparatorBySubtreeSize();
      // Undeclared exception!
      try { 
        treeNodeComparatorBySubtreeSize0.compare((TreeNode) null, (TreeNode) null);
        fail(""Expecting exception: NullPointerException"");
      
      } catch(NullPointerException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""de.unirostock.sems.xmlutils.ds.TreeNodeComparatorBySubtreeSize"", e);
      }
  }","really compares the nodes. @param o1 node one @param o2 node two @return the ascending ordersame object?
last but not least: compare xpaths"
,"@Test(timeout = 4000)
  public void test2()  throws Throwable  {
      GossipSettings gossipSettings0 = new GossipSettings(4662, 4662);
      int int0 = gossipSettings0.getGossipInterval();
      assertEquals(4662, gossipSettings0.getCleanupInterval());
  }",
"public void closestPoint(final Point3D point, final Point3D result) {
        closestPoint(point, result, DEFAULT_THRESHOLD);
    }","@Test(timeout = 4000)
  public void test30()  throws Throwable  {
      HomogeneousPoint3D homogeneousPoint3D0 = new HomogeneousPoint3D();
      Triangle3D triangle3D0 = new Triangle3D(homogeneousPoint3D0, homogeneousPoint3D0, homogeneousPoint3D0);
      // Undeclared exception!
      try { 
        triangle3D0.closestPoint((Point3D) homogeneousPoint3D0, (Point3D) homogeneousPoint3D0);
        fail(""Expecting exception: NoClassDefFoundError"");
      
      } catch(NoClassDefFoundError e) {
         //
         // com/irurueta/algebra/AlgebraException
         //
         verifyException(""com.irurueta.geometry.Triangle3D"", e);
      }
  }",Computes the point which is locus of this triangle closest to provided point and stores the result in provided result point.@param point Point to be checked. @param result Point where result will be stored.
"@Override
	public String toString() {
		return ""EvalStatus [success="" + success() + (th==null ? """" : ""; unhandled error found: ""+th.getMessage() ) + ""]"";
	}","@Test(timeout = 4000)
  public void test1()  throws Throwable  {
      EvalStatus evalStatus0 = new EvalStatus((Throwable) null);
      // Undeclared exception!
      try { 
        evalStatus0.toString();
        fail(""Expecting exception: NullPointerException"");
      
      } catch(NullPointerException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""com.aegisql.util.function.EvalStatus"", e);
      }
  }",(non-Javadoc) @see com.aegisql.util.function.Result#toString()
,"@Test(timeout = 4000)
  public void test0()  throws Throwable  {
      Integer integer0 = new Integer(44);
      DefaultMapEntry<Integer, Integer> defaultMapEntry0 = new DefaultMapEntry<Integer, Integer>(integer0, integer0);
      String string0 = defaultMapEntry0.toString();
      assertEquals(""null=44"", string0);
  }",
"public static boolean isNotEmpty(Collection<?> collection) {
        return collection != null && !collection.isEmpty();
    }","@Test(timeout = 4000)
  public void test2()  throws Throwable  {
      // Undeclared exception!
      try { 
        QyWeixinRobotUtil.isEmpty((Collection<?>) null);
        fail(""Expecting exception: NullPointerException"");
      
      } catch(NullPointerException e) {
      }
  }",集合判非空 @param collection 集合 @return true非空
"public static <L, R> Pair<L, R> of(L left, R right) {
        Pair<L, R> pair = new Pair<L, R>();
        pair.left = left;
        pair.right = right;
        return pair;
    }","@Test(timeout = 4000)
  public void test1()  throws Throwable  {
      Integer integer0 = new Integer(2152);
      Pair<Integer, Integer> pair0 = Pair.of(integer0, integer0);
      Integer integer1 = pair0.getLeft();
      assertNull(integer1);
  }",Creates a new pair of these values.@param left The left side of the pair. @param right The right side of the pair. @return The pair.
"public static double convertToRadians(final double degrees) {
        return degrees / 180.0 * Math.PI;
    }","@Test(timeout = 4000)
  public void test4()  throws Throwable  {
      double double0 = Utils.convertToRadians((-1335.8));
      assertEquals((-1901.2866776461628), double0, 0.01);
  }",Converts provided value from degrees to radians. @param degrees Angle in degrees. @return Converted angle in radians.
,"@Test(timeout = 4000)
  public void test10()  throws Throwable  {
      CMAAsset cMAAsset0 = new CMAAsset();
      // Undeclared exception!
      try { 
        cMAAsset0.toString();
        fail(""Expecting exception: NullPointerException"");
      
      } catch(NullPointerException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""com.contentful.java.cma.model.CMAAsset$Fields"", e);
      }
  }",
,"@Test(timeout = 4000)
  public void test4()  throws Throwable  {
      Integer integer0 = new Integer(1290);
      MockException mockException0 = new MockException();
      XeroRateLimitException xeroRateLimitException0 = new XeroRateLimitException(1290, integer0, integer0, integer0, (Long) null, "" : "", mockException0);
      xeroRateLimitException0.getMessage();
      assertEquals(0, xeroRateLimitException0.getStatusCode());
  }",
,"@Test(timeout = 4000)
  public void test10()  throws Throwable  {
      CallbackEvent.EventType callbackEvent_EventType0 = CallbackEvent.EventType.FAIL;
      CallbackEvent callbackEvent0 = new CallbackEvent(""c5^5}]-xCk:.]d^"", callbackEvent_EventType0, ""c5^5}]-xCk:.]d^"", ""c5^5}]-xCk:.]d^"", ""c5^5}]-xCk:.]d^"");
      String string0 = callbackEvent0.getRequestID();
      assertNull(string0);
  }",
